model,seed,param,episode,return,length,success
baseline,1,0.5,0,944.0,500,0.0
baseline,1,0.5,1,902.0,500,0.0
baseline,1,0.5,2,827.0,500,0.0
baseline,1,0.5,3,903.0,500,0.0
baseline,1,0.5,4,860.0,500,0.0
baseline,1,0.5,5,824.0,500,0.0
baseline,1,0.5,6,903.0,500,0.0
baseline,1,0.5,7,948.0,500,0.0
baseline,1,0.5,8,946.0,500,0.0
baseline,1,0.5,9,941.0,500,0.0
baseline,1,0.5,10,944.0,500,0.0
baseline,1,0.5,11,948.0,500,0.0
baseline,1,0.5,12,905.0,500,0.0
baseline,1,0.5,13,861.0,500,0.0
baseline,1,0.5,14,826.0,500,0.0
baseline,1,0.5,15,948.0,500,0.0
baseline,1,0.5,16,944.0,500,0.0
baseline,1,0.5,17,943.0,500,0.0
baseline,1,0.5,18,861.0,500,0.0
baseline,1,0.5,19,904.0,500,0.0
baseline,1,0.5,20,862.0,500,0.0
baseline,1,0.5,21,824.0,500,0.0
baseline,1,0.5,22,948.0,500,0.0
baseline,1,0.5,23,948.0,500,0.0
baseline,1,0.5,24,859.0,500,0.0
baseline,1,0.5,25,865.0,500,0.0
baseline,1,0.5,26,823.0,500,0.0
baseline,1,0.5,27,826.0,500,0.0
baseline,1,0.5,28,860.0,500,0.0
baseline,1,0.5,29,861.0,500,0.0
baseline,1,1.0,0,943.0,500,0.0
baseline,1,1.0,1,886.0,500,0.0
baseline,1,1.0,2,664.0,500,0.0
baseline,1,1.0,3,896.0,500,0.0
baseline,1,1.0,4,773.0,500,0.0
baseline,1,1.0,5,737.0,500,0.0
baseline,1,1.0,6,811.0,500,0.0
baseline,1,1.0,7,937.0,500,0.0
baseline,1,1.0,8,943.0,500,0.0
baseline,1,1.0,9,939.0,500,0.0
baseline,1,1.0,10,942.0,500,0.0
baseline,1,1.0,11,896.0,500,0.0
baseline,1,1.0,12,812.0,500,0.0
baseline,1,1.0,13,768.0,500,0.0
baseline,1,1.0,14,703.0,500,0.0
baseline,1,1.0,15,896.0,500,0.0
baseline,1,1.0,16,942.0,500,0.0
baseline,1,1.0,17,941.0,500,0.0
baseline,1,1.0,18,773.0,500,0.0
baseline,1,1.0,19,812.0,500,0.0
baseline,1,1.0,20,812.0,500,0.0
baseline,1,1.0,21,703.0,500,0.0
baseline,1,1.0,22,896.0,500,0.0
baseline,1,1.0,23,896.0,500,0.0
baseline,1,1.0,24,769.0,500,0.0
baseline,1,1.0,25,735.0,500,0.0
baseline,1,1.0,26,736.0,500,0.0
baseline,1,1.0,27,700.0,500,0.0
baseline,1,1.0,28,789.0,500,0.0
baseline,1,1.0,29,767.0,500,0.0
baseline,1,1.5,0,159.0,500,0.0
baseline,1,1.5,1,133.0,500,0.0
baseline,1,1.5,2,83.0,500,0.0
baseline,1,1.5,3,838.0,500,0.0
baseline,1,1.5,4,670.0,500,0.0
baseline,1,1.5,5,601.0,500,0.0
baseline,1,1.5,6,711.0,500,0.0
baseline,1,1.5,7,883.0,500,0.0
baseline,1,1.5,8,156.0,500,0.0
baseline,1,1.5,9,103.0,500,0.0
baseline,1,1.5,10,162.0,500,0.0
baseline,1,1.5,11,93.0,500,0.0
baseline,1,1.5,12,97.0,500,0.0
baseline,1,1.5,13,638.0,500,0.0
baseline,1,1.5,14,97.0,500,0.0
baseline,1,1.5,15,883.0,500,0.0
baseline,1,1.5,16,157.0,500,0.0
baseline,1,1.5,17,101.0,500,0.0
baseline,1,1.5,18,73.0,500,0.0
baseline,1,1.5,19,710.0,500,0.0
baseline,1,1.5,20,712.0,500,0.0
baseline,1,1.5,21,59.0,500,0.0
baseline,1,1.5,22,139.0,500,0.0
baseline,1,1.5,23,839.0,500,0.0
baseline,1,1.5,24,638.0,500,0.0
baseline,1,1.5,25,66.0,500,0.0
baseline,1,1.5,26,601.0,500,0.0
baseline,1,1.5,27,84.0,500,0.0
baseline,1,1.5,28,118.0,500,0.0
baseline,1,1.5,29,638.0,500,0.0
baseline,1,2.0,0,123.0,500,0.0
baseline,1,2.0,1,78.0,500,0.0
baseline,1,2.0,2,43.0,500,0.0
baseline,1,2.0,3,129.0,500,0.0
baseline,1,2.0,4,63.0,500,0.0
baseline,1,2.0,5,52.0,500,0.0
baseline,1,2.0,6,75.0,500,0.0
baseline,1,2.0,7,109.0,500,0.0
baseline,1,2.0,8,125.0,500,0.0
baseline,1,2.0,9,88.0,500,0.0
baseline,1,2.0,10,125.0,500,0.0
baseline,1,2.0,11,101.0,500,0.0
baseline,1,2.0,12,65.0,500,0.0
baseline,1,2.0,13,62.0,500,0.0
baseline,1,2.0,14,45.0,500,0.0
baseline,1,2.0,15,98.0,500,0.0
baseline,1,2.0,16,120.0,500,0.0
baseline,1,2.0,17,91.0,500,0.0
baseline,1,2.0,18,126.0,500,0.0
baseline,1,2.0,19,68.0,500,0.0
baseline,1,2.0,20,83.0,500,0.0
baseline,1,2.0,21,33.0,500,0.0
baseline,1,2.0,22,81.0,500,0.0
baseline,1,2.0,23,101.0,500,0.0
baseline,1,2.0,24,56.0,500,0.0
baseline,1,2.0,25,59.0,500,0.0
baseline,1,2.0,26,53.0,500,0.0
baseline,1,2.0,27,46.0,500,0.0
baseline,1,2.0,28,142.0,500,0.0
baseline,1,2.0,29,59.0,500,0.0
baseline,1,2.5,0,117.0,500,0.0
baseline,1,2.5,1,111.0,500,0.0
baseline,1,2.5,2,23.0,500,0.0
baseline,1,2.5,3,95.0,500,0.0
baseline,1,2.5,4,51.0,500,0.0
baseline,1,2.5,5,60.0,500,0.0
baseline,1,2.5,6,62.0,500,0.0
baseline,1,2.5,7,74.0,500,0.0
baseline,1,2.5,8,81.0,500,0.0
baseline,1,2.5,9,87.0,500,0.0
baseline,1,2.5,10,118.0,500,0.0
baseline,1,2.5,11,71.0,500,0.0
baseline,1,2.5,12,53.0,500,0.0
baseline,1,2.5,13,47.0,500,0.0
baseline,1,2.5,14,22.0,500,0.0
baseline,1,2.5,15,97.0,500,0.0
baseline,1,2.5,16,116.0,500,0.0
baseline,1,2.5,17,92.0,500,0.0
baseline,1,2.5,18,54.0,500,0.0
baseline,1,2.5,19,65.0,500,0.0
baseline,1,2.5,20,68.0,500,0.0
baseline,1,2.5,21,36.0,500,0.0
baseline,1,2.5,22,90.0,500,0.0
baseline,1,2.5,23,76.0,500,0.0
baseline,1,2.5,24,47.0,500,0.0
baseline,1,2.5,25,37.0,500,0.0
baseline,1,2.5,26,28.0,500,0.0
baseline,1,2.5,27,25.0,500,0.0
baseline,1,2.5,28,42.0,500,0.0
baseline,1,2.5,29,46.0,500,0.0
baseline,1,3.0,0,116.0,500,0.0
baseline,1,3.0,1,66.0,500,0.0
baseline,1,3.0,2,0.0,500,0.0
baseline,1,3.0,3,107.0,500,0.0
baseline,1,3.0,4,43.0,500,0.0
baseline,1,3.0,5,65.0,500,0.0
baseline,1,3.0,6,46.0,500,0.0
baseline,1,3.0,7,131.0,500,0.0
baseline,1,3.0,8,86.0,500,0.0
baseline,1,3.0,9,86.0,500,0.0
baseline,1,3.0,10,113.0,500,0.0
baseline,1,3.0,11,78.0,500,0.0
baseline,1,3.0,12,46.0,500,0.0
baseline,1,3.0,13,26.0,500,0.0
baseline,1,3.0,14,10.0,500,0.0
baseline,1,3.0,15,102.0,500,0.0
baseline,1,3.0,16,116.0,500,0.0
baseline,1,3.0,17,89.0,500,0.0
baseline,1,3.0,18,30.0,500,0.0
baseline,1,3.0,19,89.0,500,0.0
baseline,1,3.0,20,59.0,500,0.0
baseline,1,3.0,21,9.0,500,0.0
baseline,1,3.0,22,67.0,500,0.0
baseline,1,3.0,23,84.0,500,0.0
baseline,1,3.0,24,25.0,500,0.0
baseline,1,3.0,25,21.0,500,0.0
baseline,1,3.0,26,23.0,500,0.0
baseline,1,3.0,27,23.0,500,0.0
baseline,1,3.0,28,39.0,500,0.0
baseline,1,3.0,29,26.0,500,0.0
dr,1,0.5,0,937.0,500,0.0
dr,1,0.5,1,891.0,500,0.0
dr,1,0.5,2,816.0,500,0.0
dr,1,0.5,3,944.0,500,0.0
dr,1,0.5,4,848.0,500,0.0
dr,1,0.5,5,860.0,500,0.0
dr,1,0.5,6,901.0,500,0.0
dr,1,0.5,7,943.0,500,0.0
dr,1,0.5,8,940.0,500,0.0
dr,1,0.5,9,935.0,500,0.0
dr,1,0.5,10,938.0,500,0.0
dr,1,0.5,11,944.0,500,0.0
dr,1,0.5,12,899.0,500,0.0
dr,1,0.5,13,855.0,500,0.0
dr,1,0.5,14,811.0,500,0.0
dr,1,0.5,15,944.0,500,0.0
dr,1,0.5,16,938.0,500,0.0
dr,1,0.5,17,937.0,500,0.0
dr,1,0.5,18,847.0,500,0.0
dr,1,0.5,19,900.0,500,0.0
dr,1,0.5,20,898.0,500,0.0
dr,1,0.5,21,811.0,500,0.0
dr,1,0.5,22,944.0,500,0.0
dr,1,0.5,23,944.0,500,0.0
dr,1,0.5,24,855.0,500,0.0
dr,1,0.5,25,861.0,500,0.0
dr,1,0.5,26,860.0,500,0.0
dr,1,0.5,27,803.0,500,0.0
dr,1,0.5,28,848.0,500,0.0
dr,1,0.5,29,855.0,500,0.0
dr,1,1.0,0,936.0,500,0.0
dr,1,1.0,1,887.0,500,0.0
dr,1,1.0,2,650.0,500,0.0
dr,1,1.0,3,889.0,500,0.0
dr,1,1.0,4,763.0,500,0.0
dr,1,1.0,5,730.0,500,0.0
dr,1,1.0,6,807.0,500,0.0
dr,1,1.0,7,937.0,500,0.0
dr,1,1.0,8,938.0,500,0.0
dr,1,1.0,9,932.0,500,0.0
