model,seed,param,episode,return,length,success
baseline,4,0.5,0,0.0,500,0.0
baseline,4,0.5,1,982.0,500,0.0
baseline,4,0.5,2,0.0,500,0.0
baseline,4,0.5,3,892.0,500,0.0
baseline,4,0.5,4,892.0,500,0.0
baseline,4,0.5,5,848.0,500,0.0
baseline,4,0.5,6,0.0,500,0.0
baseline,4,0.5,7,0.0,500,0.0
baseline,4,0.5,8,855.0,500,0.0
baseline,4,0.5,9,921.0,500,0.0
baseline,4,0.5,10,889.0,500,0.0
baseline,4,0.5,11,0.0,500,0.0
baseline,4,0.5,12,0.0,500,0.0
baseline,4,0.5,13,0.0,500,0.0
baseline,4,0.5,14,0.0,500,0.0
baseline,4,0.5,15,945.0,500,0.0
baseline,4,0.5,16,0.0,500,0.0
baseline,4,0.5,17,932.0,500,0.0
baseline,4,0.5,18,0.0,500,0.0
baseline,4,0.5,19,0.0,500,0.0
baseline,4,0.5,20,921.0,500,0.0
baseline,4,0.5,21,0.0,500,0.0
baseline,4,0.5,22,890.0,500,0.0
baseline,4,0.5,23,0.0,500,0.0
baseline,4,0.5,24,0.0,500,0.0
baseline,4,0.5,25,760.0,500,0.0
baseline,4,0.5,26,946.0,500,0.0
baseline,4,0.5,27,756.0,500,0.0
baseline,4,0.5,28,892.0,500,0.0
baseline,4,0.5,29,928.0,500,0.0
baseline,4,1.0,0,0.0,500,0.0
baseline,4,1.0,1,858.0,500,0.0
baseline,4,1.0,2,0.0,500,0.0
baseline,4,1.0,3,880.0,500,0.0
baseline,4,1.0,4,883.0,500,0.0
baseline,4,1.0,5,397.0,500,0.0
baseline,4,1.0,6,0.0,500,0.0
baseline,4,1.0,7,0.0,500,0.0
baseline,4,1.0,8,755.0,500,0.0
baseline,4,1.0,9,920.0,500,0.0
baseline,4,1.0,10,708.0,500,0.0
baseline,4,1.0,11,0.0,500,0.0
baseline,4,1.0,12,0.0,500,0.0
baseline,4,1.0,13,0.0,500,0.0
baseline,4,1.0,14,0.0,500,0.0
baseline,4,1.0,15,874.0,500,0.0
baseline,4,1.0,16,0.0,500,0.0
baseline,4,1.0,17,924.0,500,0.0
baseline,4,1.0,18,0.0,500,0.0
baseline,4,1.0,19,0.0,500,0.0
baseline,4,1.0,20,919.0,500,0.0
baseline,4,1.0,21,0.0,500,0.0
baseline,4,1.0,22,707.0,500,0.0
baseline,4,1.0,23,0.0,500,0.0
baseline,4,1.0,24,0.0,500,0.0
baseline,4,1.0,25,0.0,500,0.0
baseline,4,1.0,26,875.0,500,0.0
baseline,4,1.0,27,0.0,500,0.0
