model,seed,param,episode,return,length,success
baseline,0,2.5,6,101.0,500,0.0
baseline,0,2.5,7,0.0,500,0.0
baseline,0,2.5,8,0.0,500,0.0
baseline,0,2.5,9,106.0,500,0.0
baseline,0,2.5,10,90.0,500,0.0
baseline,0,2.5,11,109.0,500,0.0
baseline,0,2.5,12,118.0,500,0.0
baseline,0,2.5,13,0.0,500,0.0
baseline,0,2.5,14,0.0,500,0.0
baseline,0,2.5,15,0.0,500,0.0
baseline,0,2.5,16,0.0,500,0.0
baseline,0,2.5,17,76.0,500,0.0
baseline,0,2.5,18,72.0,500,0.0
baseline,0,2.5,19,58.0,500,0.0
baseline,0,2.5,20,0.0,500,0.0
baseline,0,2.5,21,61.0,500,0.0
baseline,0,2.5,22,93.0,500,0.0
baseline,0,2.5,23,74.0,500,0.0
baseline,0,2.5,24,50.0,500,0.0
baseline,0,2.5,25,104.0,500,0.0
baseline,0,2.5,26,39.0,500,0.0
baseline,0,2.5,27,0.0,500,0.0
baseline,0,2.5,28,106.0,500,0.0
baseline,0,2.5,29,104.0,500,0.0
dr,0,0.5,0,933.0,500,0.0
dr,0,0.5,1,889.0,500,0.0
dr,0,0.5,2,939.0,500,0.0
dr,0,0.5,3,933.0,500,0.0
dr,0,0.5,4,939.0,500,0.0
dr,0,0.5,5,941.0,500,0.0
dr,0,0.5,6,937.0,500,0.0
dr,0,0.5,7,859.0,500,0.0
dr,0,0.5,8,812.0,500,0.0
dr,0,0.5,9,942.0,500,0.0
dr,0,0.5,10,898.0,500,0.0
dr,0,0.5,11,929.0,500,0.0
dr,0,0.5,12,937.0,500,0.0
dr,0,0.5,13,812.0,500,0.0
dr,0,0.5,14,862.0,500,0.0
dr,0,0.5,15,861.0,500,0.0
dr,0,0.5,16,819.0,500,0.0
dr,0,0.5,17,850.0,500,0.0
dr,0,0.5,18,894.0,500,0.0
dr,0,0.5,19,851.0,500,0.0
dr,0,0.5,20,809.0,500,0.0
dr,0,0.5,21,900.0,500,0.0
dr,0,0.5,22,935.0,500,0.0
dr,0,0.5,23,895.0,500,0.0
dr,0,0.5,24,851.0,500,0.0
dr,0,0.5,25,941.0,500,0.0
dr,0,0.5,26,849.0,500,0.0
dr,0,0.5,27,812.0,500,0.0
dr,0,0.5,28,1000.0,500,0.0
dr,0,0.5,29,939.0,500,0.0
dr,0,1.0,0,931.0,500,0.0
dr,0,1.0,1,890.0,500,0.0
dr,0,1.0,2,938.0,500,0.0
dr,0,1.0,3,931.0,500,0.0
dr,0,1.0,4,937.0,500,0.0
dr,0,1.0,5,939.0,500,0.0
dr,0,1.0,6,936.0,500,0.0
dr,0,1.0,7,723.0,500,0.0
dr,0,1.0,8,692.0,500,0.0
dr,0,1.0,9,940.0,500,0.0
dr,0,1.0,10,802.0,500,0.0
dr,0,1.0,11,927.0,500,0.0
dr,0,1.0,12,935.0,500,0.0
dr,0,1.0,13,731.0,500,0.0
dr,0,1.0,14,686.0,500,0.0
dr,0,1.0,15,731.0,500,0.0
dr,0,1.0,16,698.0,500,0.0
dr,0,1.0,17,760.0,500,0.0
dr,0,1.0,18,800.0,500,0.0
dr,0,1.0,19,768.0,500,0.0
dr,0,1.0,20,698.0,500,0.0
dr,0,1.0,21,802.0,500,0.0
dr,0,1.0,22,932.0,500,0.0
dr,0,1.0,23,801.0,500,0.0
dr,0,1.0,24,722.0,500,0.0
dr,0,1.0,25,939.0,500,0.0
dr,0,1.0,26,765.0,500,0.0
dr,0,1.0,27,688.0,500,0.0
dr,0,1.0,28,1000.0,500,0.0
dr,0,1.0,29,938.0,500,0.0
dr,0,1.5,0,930.0,500,0.0
dr,0,1.5,1,836.0,500,0.0
dr,0,1.5,2,937.0,500,0.0
dr,0,1.5,3,930.0,500,0.0
dr,0,1.5,4,937.0,500,0.0
dr,0,1.5,5,885.0,500,0.0
dr,0,1.5,6,935.0,500,0.0
dr,0,1.5,7,587.0,500,0.0
dr,0,1.5,8,512.0,500,0.0
dr,0,1.5,9,938.0,500,0.0
dr,0,1.5,10,700.0,500,0.0
dr,0,1.5,11,926.0,500,0.0
dr,0,1.5,12,933.0,500,0.0
dr,0,1.5,13,548.0,500,0.0
dr,0,1.5,14,553.0,500,0.0
dr,0,1.5,15,598.0,500,0.0
dr,0,1.5,16,532.0,500,0.0
dr,0,1.5,17,670.0,500,0.0
dr,0,1.5,18,751.0,500,0.0
dr,0,1.5,19,635.0,500,0.0
dr,0,1.5,20,527.0,500,0.0
dr,0,1.5,21,709.0,500,0.0
dr,0,1.5,22,931.0,500,0.0
dr,0,1.5,23,748.0,500,0.0
dr,0,1.5,24,573.0,500,0.0
dr,0,1.5,25,886.0,500,0.0
dr,0,1.5,26,623.0,500,0.0
dr,0,1.5,27,562.0,500,0.0
dr,0,1.5,28,921.0,500,0.0
dr,0,1.5,29,937.0,500,0.0
dr,0,2.0,0,929.0,500,0.0
dr,0,2.0,1,726.0,500,0.0
dr,0,2.0,2,936.0,500,0.0
dr,0,2.0,3,929.0,500,0.0
dr,0,2.0,4,936.0,500,0.0
dr,0,2.0,5,787.0,500,0.0
dr,0,2.0,6,934.0,500,0.0
dr,0,2.0,7,449.0,500,0.0
dr,0,2.0,8,389.0,500,0.0
dr,0,2.0,9,870.0,500,0.0
dr,0,2.0,10,594.0,500,0.0
dr,0,2.0,11,925.0,500,0.0
dr,0,2.0,12,933.0,500,0.0
dr,0,2.0,13,421.0,500,0.0
dr,0,2.0,14,423.0,500,0.0
dr,0,2.0,15,403.0,500,0.0
dr,0,2.0,16,360.0,500,0.0
dr,0,2.0,17,571.0,500,0.0
dr,0,2.0,18,654.0,500,0.0
dr,0,2.0,19,488.0,500,0.0
