scale,mean_return,std_return,min_return,max_return,median_return,episodes
0.7,752.2999877929688,389.6832275390625,0.0,996.0,962.0,30
0.8,817.7000122070312,346.6923828125,0.0,993.0,974.0,30
0.9,894.6333618164062,246.01443481445312,0.0,994.0,971.0,30
1.0,842.3666381835938,330.644775390625,0.0,993.0,968.5,30
1.1,872.5,291.2959289550781,0.0,996.0,967.0,30
1.2,840.0999755859375,329.825927734375,0.0,995.0,969.0,30
1.3,925.0333251953125,176.80770874023438,0.0,994.0,968.0,30
