model,seed,param,episode,return,length,success
baseline,2,2.5,6,86.0,500,0.0
baseline,2,2.5,7,175.0,500,0.0
baseline,2,2.5,8,176.0,500,0.0
baseline,2,2.5,9,133.0,500,0.0
baseline,2,2.5,10,178.0,500,0.0
baseline,2,2.5,11,161.0,500,0.0
baseline,2,2.5,12,94.0,500,0.0
baseline,2,2.5,13,183.0,500,0.0
baseline,2,2.5,14,97.0,500,0.0
baseline,2,2.5,15,108.0,500,0.0
baseline,2,2.5,16,113.0,500,0.0
baseline,2,2.5,17,207.0,500,0.0
baseline,2,2.5,18,105.0,500,0.0
baseline,2,2.5,19,49.0,500,0.0
baseline,2,2.5,20,1000.0,500,0.0
baseline,2,2.5,21,63.0,500,0.0
baseline,2,2.5,22,195.0,500,0.0
baseline,2,2.5,23,68.0,500,0.0
baseline,2,2.5,24,407.0,500,0.0
baseline,2,2.5,25,162.0,500,0.0
baseline,2,2.5,26,115.0,500,0.0
baseline,2,2.5,27,97.0,500,0.0
baseline,2,2.5,28,120.0,500,0.0
baseline,2,2.5,29,190.0,500,0.0
dr,2,0.5,0,937.0,500,0.0
dr,2,0.5,1,817.0,500,0.0
dr,2,0.5,2,936.0,500,0.0
dr,2,0.5,3,937.0,500,0.0
dr,2,0.5,4,939.0,500,0.0
dr,2,0.5,5,943.0,500,0.0
dr,2,0.5,6,898.0,500,0.0
dr,2,0.5,7,942.0,500,0.0
dr,2,0.5,8,944.0,500,0.0
dr,2,0.5,9,897.0,500,0.0
dr,2,0.5,10,942.0,500,0.0
dr,2,0.5,11,994.0,500,0.0
dr,2,0.5,12,850.0,500,0.0
dr,2,0.5,13,1000.0,500,0.0
dr,2,0.5,14,900.0,500,0.0
dr,2,0.5,15,895.0,500,0.0
dr,2,0.5,16,856.0,500,0.0
dr,2,0.5,17,1000.0,500,0.0
dr,2,0.5,18,856.0,500,0.0
dr,2,0.5,19,861.0,500,0.0
dr,2,0.5,20,1000.0,500,0.0
dr,2,0.5,21,861.0,500,0.0
dr,2,0.5,22,939.0,500,0.0
dr,2,0.5,23,860.0,500,0.0
dr,2,0.5,24,850.0,500,0.0
dr,2,0.5,25,940.0,500,0.0
dr,2,0.5,26,894.0,500,0.0
dr,2,0.5,27,858.0,500,0.0
dr,2,0.5,28,894.0,500,0.0
dr,2,0.5,29,941.0,500,0.0
dr,2,1.0,0,935.0,500,0.0
dr,2,1.0,1,692.0,500,0.0
dr,2,1.0,2,933.0,500,0.0
dr,2,1.0,3,936.0,500,0.0
dr,2,1.0,4,937.0,500,0.0
dr,2,1.0,5,892.0,500,0.0
dr,2,1.0,6,805.0,500,0.0
dr,2,1.0,7,940.0,500,0.0
dr,2,1.0,8,891.0,500,0.0
dr,2,1.0,9,844.0,500,0.0
dr,2,1.0,10,940.0,500,0.0
dr,2,1.0,11,981.0,500,0.0
dr,2,1.0,12,768.0,500,0.0
dr,2,1.0,13,1000.0,500,0.0
dr,2,1.0,14,807.0,500,0.0
dr,2,1.0,15,802.0,500,0.0
dr,2,1.0,16,767.0,500,0.0
dr,2,1.0,17,1000.0,500,0.0
dr,2,1.0,18,767.0,500,0.0
dr,2,1.0,19,731.0,500,0.0
dr,2,1.0,20,1000.0,500,0.0
dr,2,1.0,21,729.0,500,0.0
dr,2,1.0,22,937.0,500,0.0
dr,2,1.0,23,729.0,500,0.0
dr,2,1.0,24,769.0,500,0.0
dr,2,1.0,25,938.0,500,0.0
dr,2,1.0,26,845.0,500,0.0
dr,2,1.0,27,728.0,500,0.0
dr,2,1.0,28,801.0,500,0.0
dr,2,1.0,29,938.0,500,0.0
dr,2,1.5,0,935.0,500,0.0
dr,2,1.5,1,486.0,500,0.0
dr,2,1.5,2,933.0,500,0.0
dr,2,1.5,3,935.0,500,0.0
dr,2,1.5,4,937.0,500,0.0
dr,2,1.5,5,884.0,500,0.0
dr,2,1.5,6,702.0,500,0.0
dr,2,1.5,7,937.0,500,0.0
dr,2,1.5,8,763.0,500,0.0
dr,2,1.5,9,792.0,500,0.0
dr,2,1.5,10,937.0,500,0.0
dr,2,1.5,11,925.0,500,0.0
dr,2,1.5,12,628.0,500,0.0
dr,2,1.5,13,1000.0,500,0.0
dr,2,1.5,14,713.0,500,0.0
dr,2,1.5,15,752.0,500,0.0
dr,2,1.5,16,675.0,500,0.0
dr,2,1.5,17,1000.0,500,0.0
dr,2,1.5,18,673.0,500,0.0
dr,2,1.5,19,546.0,500,0.0
dr,2,1.5,20,1000.0,500,0.0
dr,2,1.5,21,550.0,500,0.0
dr,2,1.5,22,936.0,500,0.0
dr,2,1.5,23,596.0,500,0.0
dr,2,1.5,24,634.0,500,0.0
dr,2,1.5,25,937.0,500,0.0
dr,2,1.5,26,690.0,500,0.0
dr,2,1.5,27,541.0,500,0.0
dr,2,1.5,28,698.0,500,0.0
dr,2,1.5,29,886.0,500,0.0
dr,2,2.0,0,934.0,500,0.0
dr,2,2.0,1,359.0,500,0.0
dr,2,2.0,2,932.0,500,0.0
dr,2,2.0,3,935.0,500,0.0
dr,2,2.0,4,936.0,500,0.0
dr,2,2.0,5,831.0,500,0.0
dr,2,2.0,6,611.0,500,0.0
dr,2,2.0,7,870.0,500,0.0
dr,2,2.0,8,781.0,500,0.0
dr,2,2.0,9,681.0,500,0.0
dr,2,2.0,10,874.0,500,0.0
dr,2,2.0,11,927.0,500,0.0
dr,2,2.0,12,454.0,500,0.0
dr,2,2.0,13,1000.0,500,0.0
dr,2,2.0,14,552.0,500,0.0
dr,2,2.0,15,657.0,500,0.0
dr,2,2.0,16,536.0,500,0.0
dr,2,2.0,17,1000.0,500,0.0
dr,2,2.0,18,528.0,500,0.0
dr,2,2.0,19,410.0,500,0.0
dr,2,2.0,20,1000.0,500,0.0
dr,2,2.0,21,428.0,500,0.0
dr,2,2.0,22,935.0,500,0.0
dr,2,2.0,23,460.0,500,0.0
dr,2,2.0,24,492.0,500,0.0
dr,2,2.0,25,936.0,500,0.0
dr,2,2.0,26,650.0,500,0.0
dr,2,2.0,27,452.0,500,0.0
dr,2,2.0,28,656.0,500,0.0
dr,2,2.0,29,826.0,500,0.0
dr,2,2.5,0,934.0,500,0.0
dr,2,2.5,1,185.0,500,0.0
dr,2,2.5,2,932.0,500,0.0
dr,2,2.5,3,934.0,500,0.0
dr,2,2.5,4,936.0,500,0.0
dr,2,2.5,5,711.0,500,0.0
dr,2,2.5,6,508.0,500,0.0
dr,2,2.5,7,879.0,500,0.0
dr,2,2.5,8,727.0,500,0.0
dr,2,2.5,9,637.0,500,0.0
dr,2,2.5,10,880.0,500,0.0
dr,2,2.5,11,926.0,500,0.0
dr,2,2.5,12,405.0,500,0.0
dr,2,2.5,13,928.0,500,0.0
dr,2,2.5,14,471.0,500,0.0
dr,2,2.5,15,488.0,500,0.0
dr,2,2.5,16,385.0,500,0.0
dr,2,2.5,17,1000.0,500,0.0
dr,2,2.5,18,442.0,500,0.0
dr,2,2.5,19,280.0,500,0.0
dr,2,2.5,20,1000.0,500,0.0
dr,2,2.5,21,240.0,500,0.0
dr,2,2.5,22,935.0,500,0.0
dr,2,2.5,23,328.0,500,0.0
dr,2,2.5,24,330.0,500,0.0
dr,2,2.5,25,933.0,500,0.0
dr,2,2.5,26,547.0,500,0.0
dr,2,2.5,27,315.0,500,0.0
dr,2,2.5,28,553.0,500,0.0
dr,2,2.5,29,825.0,500,0.0
c,2,0.5,0,942.0,500,0.0
c,2,0.5,1,835.0,500,0.0
c,2,0.5,2,941.0,500,0.0
c,2,0.5,3,941.0,500,0.0
c,2,0.5,4,943.0,500,0.0
c,2,0.5,5,947.0,500,0.0
c,2,0.5,6,902.0,500,0.0
c,2,0.5,7,946.0,500,0.0
c,2,0.5,8,946.0,500,0.0
c,2,0.5,9,903.0,500,0.0
c,2,0.5,10,946.0,500,0.0
c,2,0.5,11,994.0,500,0.0
c,2,0.5,12,852.0,500,0.0
c,2,0.5,13,1000.0,500,0.0
c,2,0.5,14,903.0,500,0.0
c,2,0.5,15,901.0,500,0.0
c,2,0.5,16,865.0,500,0.0
c,2,0.5,17,1000.0,500,0.0
c,2,0.5,18,866.0,500,0.0
c,2,0.5,19,864.0,500,0.0
c,2,0.5,20,1000.0,500,0.0
c,2,0.5,21,864.0,500,0.0
c,2,0.5,22,942.0,500,0.0
c,2,0.5,23,862.0,500,0.0
c,2,0.5,24,855.0,500,0.0
c,2,0.5,25,944.0,500,0.0
c,2,0.5,26,900.0,500,0.0
c,2,0.5,27,858.0,500,0.0
c,2,0.5,28,900.0,500,0.0
c,2,0.5,29,945.0,500,0.0
c,2,1.0,0,941.0,500,0.0
c,2,1.0,1,703.0,500,0.0
c,2,1.0,2,939.0,500,0.0
c,2,1.0,3,941.0,500,0.0
c,2,1.0,4,937.0,500,0.0
c,2,1.0,5,896.0,500,0.0
