step,episode_reward
0.0,30.46624183654785
500.0,30.568248748779297
1000.0,25.730091094970703
1500.0,32.47183609008789
2000.0,31.142675399780273
2500.0,17.019643783569336
3000.0,68.62774658203125
3500.0,60.540863037109375
4000.0,78.43531799316406
4500.0,85.90798950195312
5000.0,128.14273071289062
5500.0,84.09397888183594
6000.0,131.60220336914062
6500.0,138.0044708251953
7000.0,170.01748657226562
7500.0,157.92520141601562
8000.0,152.390380859375
8500.0,201.1074981689453
9000.0,217.7946319580078
9500.0,211.9087677001953
10000.0,178.24395751953125
10500.0,197.60447692871094
11000.0,182.07785034179688
11500.0,287.0408935546875
12000.0,248.2482452392578
12500.0,264.9956970214844
13000.0,333.61627197265625
13500.0,407.522216796875
14000.0,314.82373046875
14500.0,392.2646179199219
15000.0,407.1208190917969
15500.0,407.5611267089844
16000.0,395.351318359375
16500.0,509.9114685058594
17000.0,571.1608276367188
17500.0,717.0194702148438
18000.0,467.6316833496094
18500.0,591.7639770507812
19000.0,579.0946655273438
19500.0,836.6429443359375
20000.0,721.3803100585938
20500.0,877.7825317382812
21000.0,700.6385498046875
21500.0,774.5729370117188
22000.0,693.6494140625
22500.0,899.5760498046875
23000.0,648.5570678710938
23500.0,604.7694702148438
24000.0,719.5969848632812
24500.0,666.7750854492188
25000.0,592.7704467773438
25500.0,423.2276306152344
26000.0,364.7920227050781
26500.0,518.6590576171875
27000.0,695.4888305664062
27500.0,777.8120727539062
28000.0,826.0227661132812
28500.0,670.4029541015625
29000.0,875.9591674804688
29500.0,786.1241455078125
30000.0,740.2923583984375
30500.0,856.5880126953125
31000.0,834.8104248046875
31500.0,850.5247802734375
32000.0,943.7288818359375
32500.0,875.6135864257812
33000.0,871.6310424804688
33500.0,773.6575927734375
34000.0,684.6859130859375
34500.0,461.4026794433594
35000.0,695.4326782226562
35500.0,853.3570556640625
36000.0,939.2247924804688
36500.0,808.3508911132812
37000.0,828.7669067382812
37500.0,792.5968017578125
38000.0,855.0115356445312
38500.0,941.1427612304688
39000.0,887.0255126953125
39500.0,901.9638671875
40000.0,903.6135864257812
40500.0,945.9554443359375
41000.0,953.6754150390625
41500.0,914.4060668945312
42000.0,928.5556640625
42500.0,864.1663818359375
43000.0,862.4910888671875
43500.0,895.2545776367188
44000.0,964.0525512695312
44500.0,901.9284057617188
45000.0,956.0091552734375
45500.0,888.5519409179688
46000.0,896.6755981445312
46500.0,938.9205932617188
47000.0,957.9352416992188
47500.0,956.076171875
48000.0,967.1329345703125
48500.0,945.3238525390625
49000.0,949.9484252929688
49500.0,964.6898193359375
50000.0,905.0341796875
50500.0,968.0576171875
51000.0,970.8113403320312
51500.0,963.9847412109375
52000.0,860.4273681640625
52500.0,955.4352416992188
53000.0,953.75
53500.0,898.4840698242188
54000.0,953.9432373046875
54500.0,942.6868286132812
55000.0,907.27197265625
55500.0,962.32373046875
56000.0,949.6929931640625
56500.0,915.1082153320312
57000.0,955.40087890625
57500.0,920.2900390625
58000.0,968.3031005859375
58500.0,951.99462890625
59000.0,908.2843017578125
59500.0,923.5523681640625
60000.0,963.1484375
60500.0,894.6809692382812
61000.0,942.4273681640625
61500.0,969.1199340820312
62000.0,967.0621948242188
62500.0,975.2037963867188
63000.0,939.6903076171875
63500.0,953.9938354492188
64000.0,955.1163330078125
64500.0,978.3602294921875
65000.0,955.9860229492188
65500.0,932.49853515625
66000.0,966.2385864257812
66500.0,952.99609375
67000.0,865.0271606445312
